iter	Passed	Remaining
0	33	13398
1	72	14407
2	104	13877
3	138	13664
4	170	13433
5	201	13230
6	234	13158
7	261	12804
8	290	12639
9	322	12577
10	354	12529
11	384	12444
12	406	12087
13	440	12151
14	471	12111
15	505	12132
16	525	11837
17	556	11804
18	586	11756
19	601	11435
20	634	11443
21	665	11431
22	696	11417
23	729	11424
24	763	11455
25	801	11535
26	835	11544
27	870	11570
28	903	11554
29	932	11499
30	963	11474
31	995	11443
32	1019	11336
33	1050	11312
34	1079	11255
35	1108	11204
36	1136	11154
37	1167	11120
38	1197	11080
39	1229	11065
40	1260	11036
41	1286	10964
42	1314	10909
43	1342	10862
44	1371	10821
45	1400	10779
46	1428	10731
47	1459	10699
48	1491	10680
49	1523	10667
50	1568	10730
51	1603	10731
52	1635	10706
53	1667	10682
54	1699	10658
55	1729	10621
56	1767	10633
57	1795	10587
58	1825	10551
59	1854	10506
60	1884	10474
61	1915	10442
62	1946	10409
63	1973	10360
64	2003	10323
65	2038	10316
66	2068	10282
67	2097	10240
68	2126	10199
69	2135	10069
70	2168	10046
71	2198	10013
72	2227	9979
73	2256	9941
74	2282	9891
75	2310	9849
76	2339	9815
77	2369	9783
78	2399	9750
79	2432	9728
80	2463	9701
81	2493	9670
82	2523	9639
83	2552	9602
84	2585	9580
85	2616	9555
86	2647	9523
87	2677	9492
88	2710	9470
89	2721	9372
90	2752	9347
91	2785	9324
92	2796	9232
93	2830	9214
94	2852	9157
95	2883	9131
96	2915	9107
97	2938	9055
98	2971	9033
99	3001	9004
100	3038	8993
101	3066	8960
102	3097	8931
103	3130	8910
104	3166	8895
105	3198	8870
106	3241	8875
107	3272	8848
108	3289	8781
109	3321	8755
110	3350	8723
111	3366	8657
112	3395	8625
113	3424	8591
114	3453	8559
115	3489	8542
116	3521	8518
117	3550	8484
118	3577	8448
119	3606	8415
120	3636	8385
121	3666	8354
122	3698	8329
123	3729	8302
124	3759	8270
125	3799	8262
126	3839	8254
127	3867	8218
128	3901	8195
129	3930	8162
130	3959	8131
131	3979	8079
132	4009	8048
133	4041	8023
134	4071	7992
135	4101	7960
136	4133	7935
137	4162	7903
138	4192	7871
139	4221	7839
140	4237	7783
141	4247	7716
142	4260	7656
143	4282	7614
144	4311	7582
145	4341	7553
146	4360	7505
147	4389	7473
148	4421	7448
149	4450	7417
150	4480	7387
151	4510	7359
152	4535	7321
153	4565	7292
154	4593	7260
155	4625	7234
156	4656	7207
157	4686	7177
158	4717	7150
159	4742	7114
160	4773	7086
161	4802	7055
162	4833	7028
163	4853	6984
164	4883	6955
165	4912	6924
