iter	Passed	Remaining
0	58	23173
1	128	25478
2	191	25395
3	267	26479
4	329	26057
5	451	29633
6	525	29495
7	596	29243
8	659	28664
9	727	28357
10	768	27182
11	831	26878
12	902	26856
13	952	26272
14	1013	26016
15	1062	25506
16	1103	24858
17	1145	24315
18	1194	23957
19	1232	23408
20	1267	22880
21	1306	22448
22	1347	22081
23	1377	21585
24	1404	21061
25	1448	20841
26	1486	20529
27	1536	20413
28	1574	20148
29	1612	19888
30	1634	19455
31	1675	19268
32	1711	19030
33	1751	18858
34	1787	18637
35	1824	18443
36	1861	18258
37	1894	18049
38	1936	17929
39	1979	17815
40	2014	17639
41	2048	17465
42	2084	17307
43	2118	17136
44	2148	16949
45	2193	16877
46	2234	16785
47	2273	16671
48	2310	16547
49	2348	16439
50	2377	16268
51	2411	16138
52	2449	16034
53	2491	15965
54	2529	15863
55	2569	15783
56	2587	15572
57	2626	15485
58	2679	15486
59	2740	15531
60	2766	15373
61	2804	15290
62	2845	15218
63	2881	15127
64	2917	15034
65	2958	14974
66	3002	14923
67	3037	14832
68	3073	14743
69	3111	14666
70	3156	14625
71	3196	14562
72	3227	14456
73	3270	14407
74	3306	14328
75	3347	14272
76	3382	14189
77	3420	14119
78	3460	14060
79	3500	14002
80	3539	13938
81	3574	13863
82	3611	13794
83	3649	13728
84	3686	13660
85	3730	13621
86	3767	13556
87	3806	13496
88	3844	13432
89	3874	13344
90	3921	13316
91	3971	13295
92	4018	13264
93	4054	13199
94	4089	13128
95	4125	13064
96	4162	13001
97	4193	12924
98	4241	12895
99	4278	12836
100	4316	12778
101	4358	12735
102	4378	12625
103	4416	12570
104	4455	12519
105	4501	12485
106	4538	12427
107	4574	12369
108	4611	12312
109	4649	12259
110	4685	12198
111	4712	12117
112	4755	12079
113	4793	12026
114	4808	11916
115	4838	11846
116	4874	11791
117	4926	11773
118	4993	11791
119	5034	11746
120	5071	11694
121	5109	11642
122	5145	11587
123	5182	11534
124	5245	11540
125	5282	11488
126	5324	11445
127	5366	11403
128	5411	11367
129	5450	11320
130	5507	11310
131	5549	11266
132	5585	11213
133	5624	11165
134	5665	11120
135	5699	11063
136	5740	11019
137	5777	10969
138	5805	10900
139	5831	10829
140	5853	10752
141	5890	10703
142	5927	10652
143	5963	10602
144	6006	10562
145	6046	10519
146	6081	10465
147	6116	10413
148	6151	10363
149	6192	10321
150	6235	10282
151	6280	10247
152	6325	10212
153	6365	10168
154	6402	10120
155	6441	10075
156	6479	10028
157	6520	9986
158	6549	9926
159	6587	9880
160	6623	9832
161	6658	9781
162	6697	9738
163	6737	9695
164	6780	9657
165	6805	9593
166	6847	9553
167	6882	9503
168	6919	9457
169	6943	9394
170	6984	9354
171	7024	9311
172	7063	9268
173	7107	9231
174	7146	9188
175	7197	9160
176	7246	9129
177	7292	9094
178	7340	9062
179	7373	9012
180	7415	8972
181	7450	8924
182	7490	8882
183	7523	8832
184	7566	8793
185	7608	8754
186	7643	8705
187	7678	8658
188	7714	8613
189	7756	8573
190	7799	8534
191	7837	8490
192	7875	8447
193	7915	8405
194	7953	8361
195	7991	8317
196	8036	8280
197	8081	8245
198	8120	8202
199	8156	8156
200	8194	8112
201	8230	8067
202	8273	8029
203	8322	7996
204	8368	7960
205	8408	7918
206	8447	7875
207	8483	7830
208	8528	7794
209	8565	7749
210	8601	7704
211	8639	7661
212	8661	7604
213	8698	7560
214	8736	7517
215	8779	7478
216	8825	7442
217	8859	7396
218	8898	7354
219	8939	7313
220	8979	7272
221	9021	7233
222	9062	7193
223	9106	7155
224	9143	7111
225	9183	7070
226	9219	7026
227	9261	6986
228	9299	6944
229	9336	6901
230	9351	6841
231	9392	6801
232	9414	6747
233	9457	6708
234	9518	6683
235	9558	6642
236	9593	6598
237	9628	6554
238	9664	6510
239	9697	6465
240	9730	6419
241	9762	6373
242	9781	6319
243	9823	6280
244	9856	6235
245	9889	6190
246	9922	6146
247	9963	6106
248	10002	6065
249	10042	6025
250	10080	5983
251	10116	5941
252	10154	5900
253	10194	5859
254	10216	5809
255	10252	5766
256	10292	5726
257	10329	5685
258	10363	5642
259	10399	5599
260	10436	5558
261	10489	5525
262	10534	5487
263	10570	5445
264	10593	5396
265	10633	5356
266	10671	5315
267	10719	5279
268	10760	5240
269	10798	5199
270	10836	5158
271	10876	5118
272	10910	5075
273	10945	5033
274	10981	4991
275	11017	4949
276	11051	4907
277	11089	4866
278	11124	4824
279	11158	4782
280	11193	4740
281	11230	4699
282	11282	4664
283	11321	4624
284	11358	4583
285	11396	4542
286	11430	4500
287	11466	4459
288	11486	4411
289	11521	4370
290	11557	4328
291	11593	4287
292	11630	4247
293	11667	4206
294	11714	4169
295	11767	4134
296	11803	4093
297	11841	4053
298	11864	4007
299	11900	3966
300	11935	3925
301	11969	3884
302	12008	3844
303	12037	3801
304	12072	3760
305	12107	3719
306	12143	3678
307	12177	3637
308	12211	3596
309	12246	3555
310	12280	3514
311	12315	3473
312	12348	3432
313	12383	3391
314	12418	3350
315	12452	3310
316	12491	3270
317	12525	3229
318	12558	3188
319	12592	3148
320	12626	3107
321	12661	3066
322	12696	3026
323	12731	2986
324	12769	2946
325	12806	2906
326	12841	2866
327	12875	2826
328	12910	2786
329	12946	2746
330	12982	2706
331	13016	2666
332	13049	2625
333	13085	2585
334	13121	2545
335	13156	2506
336	13191	2466
337	13229	2426
338	13266	2387
339	13304	2347
340	13341	2308
341	13376	2268
342	13413	2229
343	13446	2188
344	13485	2149
345	13518	2109
346	13550	2069
347	13585	2030
348	13620	1990
349	13657	1951
350	13691	1911
351	13727	1871
352	13758	1831
353	13793	1792
354	13837	1754
355	13886	1716
356	13922	1676
357	13966	1638
358	14018	1601
359	14055	1561
