iter	RMSE
0	120160.3533
1	117701.1872
2	115243.9968
3	112865.5647
4	110593.6147
5	108309.9306
6	106253.2354
7	104210.8739
8	102286.7086
9	100382.9319
10	98557.29658
11	96731.93277
12	95025.87572
13	93312.36399
14	91774.55857
15	90254.97426
16	88822.65066
17	87379.96485
18	86109.8471
19	85012.22855
20	83770.99733
21	82590.61022
22	81455.02416
23	80362.97782
24	79236.34866
25	78223.40167
26	77168.65982
27	76165.2793
28	75178.66339
29	74199.16486
30	73312.14878
31	72385.94211
32	71409.53185
33	70551.01793
34	69709.92673
35	68882.84526
36	68098.15132
37	67407.32715
38	66665.39408
39	65889.93482
40	65255.6631
41	64531.48023
42	63940.22243
43	63360.46515
44	62684.69204
45	62175.23597
46	61582.55472
47	61089.69613
48	60507.04807
49	60048.42361
50	59528.74865
51	59034.16516
52	58712.67834
53	58229.98506
54	57751.14299
55	57263.02507
56	56748.23054
57	56302.3877
58	55827.02931
59	55446.68584
60	54976.76524
61	54683.85581
62	54246.97501
63	53903.14177
64	53519.49581
65	53146.02373
66	52910.30831
67	52665.37949
68	52466.33076
69	52185.14181
70	51915.76914
71	51717.08262
72	51525.77045
73	51373.9644
74	51045.05127
75	50755.11484
76	50413.8056
77	50248.26969
78	50077.47105
79	49865.42378
80	49635.12386
81	49475.38307
82	49301.90787
83	49165.28318
84	49015.3055
85	48824.08799
86	48622.84619
87	48435.9105
88	48301.676
89	48146.04736
90	47960.74144
91	47834.44935
92	47725.95997
93	47547.32924
94	47328.30001
95	47202.08054
96	47124.76693
97	47037.22534
98	46807.54493
99	46669.48547
100	46579.1321
101	46454.20487
102	46360.66299
103	46175.76285
104	46110.42734
105	46052.22526
106	45985.79202
107	45900.60644
108	45799.14459
109	45717.63791
110	45549.98079
111	45365.71003
112	45282.65843
113	45191.30858
114	45057.91693
115	44980.0452
116	44863.61805
117	44736.75718
118	44661.15032
119	44473.37774
120	44357.11914
121	44287.20162
122	44182.94751
123	44133.51873
124	44006.26761
125	43935.14048
126	43890.78122
127	43837.00148
128	43801.21399
129	43740.602
130	43705.31493
131	43658.77851
132	43581.04066
133	43543.37486
134	43465.36408
135	43340.56475
136	43304.10044
137	43258.83489
138	43208.97634
139	43175.36776
140	43135.85846
141	43095.90615
142	43051.22434
143	42999.28316
144	42968.67274
145	42921.62017
146	42874.17347
147	42834.22808
148	42801.29045
149	42761.433
150	42725.52696
151	42704.99369
152	42624.88833
153	42593.4313
154	42475.65503
155	42418.22269
156	42384.0638
157	42352.80699
158	42321.34691
159	42281.42318
160	42259.98059
161	42208.0606
162	42177.62046
163	42146.98273
164	42051.81589
165	42029.73915
166	42007.85785
167	41970.61676
168	41956.67817
169	41937.04756
170	41915.00726
171	41829.96388
172	41764.56475
173	41729.18437
174	41666.0231
175	41642.7825
176	41625.53033
177	41600.29694
178	41526.79585
179	41510.63304
180	41490.23991
181	41319.04223
182	41293.37911
183	41269.41015
184	41255.39301
185	41233.43192
186	41129.04783
187	41070.81416
188	41050.40695
189	41030.44105
190	41015.11781
191	40938.1611
192	40906.06365
193	40884.66612
194	40802.19337
195	40779.5052
196	40767.80197
197	40751.17017
198	40736.59248
199	40718.37088
200	40687.54624
201	40667.56892
202	40564.71351
203	40553.32621
204	40528.84332
205	40446.64337
206	40425.859
207	40396.15004
208	40383.74526
209	40365.25703
210	40244.14595
211	40225.65412
212	40188.5676
213	40117.25486
214	40062.44117
215	40045.76619
216	40019.55647
217	39991.2672
