iter	Passed	Remaining
0	33	13516
1	81	16193
2	111	14742
3	155	15417
4	207	16389
5	227	14942
6	274	15429
7	310	15193
8	350	15241
9	389	15189
10	425	15046
11	460	14886
12	475	14151
13	516	14241
14	557	14315
15	598	14370
16	638	14378
17	679	14431
18	724	14530
19	768	14592
20	815	14717
21	856	14716
22	898	14734
23	940	14741
24	981	14720
25	1022	14703
26	1063	14689
27	1085	14419
28	1124	14381
29	1156	14257
30	1184	14095
31	1235	14212
32	1306	14532
33	1387	14934
34	1430	14920
35	1523	15407
36	1599	15695
37	1680	16005
38	1764	16336
39	1835	16521
40	1911	16739
41	1991	16972
42	2090	17353
43	2182	17657
44	2256	17801
45	2318	17844
46	2414	18131
47	2509	18404
48	2577	18466
49	2650	18550
50	2732	18697
51	2799	18734
52	2883	18880
53	2945	18875
54	3011	18892
55	3090	18982
56	3174	19100
57	3250	19165
58	3318	19179
59	3385	19185
60	3471	19293
61	3542	19310
62	3611	19319
63	3692	19387
64	3782	19493
65	3884	19655
66	3970	19733
67	4034	19697
68	4108	19706
69	4186	19736
70	4295	19906
71	4363	19877
72	4444	19910
73	4540	20004
74	4629	20059
75	4720	20122
76	4793	20108
77	4859	20059
78	4917	19982
79	4982	19928
80	5062	19935
81	5148	19967
82	5224	19953
83	5296	19924
84	5366	19888
85	5445	19883
86	5529	19893
87	5605	19875
88	5685	19868
89	5714	19684
90	5789	19660
91	5872	19661
92	5956	19662
93	6045	19678
94	6155	19763
95	6230	19729
96	6304	19692
97	6372	19638
98	6459	19638
99	6543	19630
100	6605	19556
101	6723	19643
102	6788	19575
103	6876	19570
104	6982	19618
105	7066	19599
106	7103	19451
107	7185	19427
108	7252	19362
109	7326	19315
110	7431	19349
111	7492	19265
112	7563	19211
113	7634	19152
114	7693	19066
115	7755	18987
116	7830	18939
117	7896	18870
118	7931	18729
119	8028	18732
120	8091	18657
121	8161	18598
122	8245	18568
123	8326	18533
124	8406	18495
125	8474	18427
126	8508	18289
127	8572	18216
128	8677	18229
129	8753	18179
130	8841	18155
131	8906	18083
132	9003	18075
133	9107	18078
134	9198	18056
135	9275	18005
136	9386	18019
137	9465	17970
138	9535	17905
139	9609	17846
140	9669	17761
141	9730	17678
142	9779	17575
143	9871	17548
144	9946	17491
145	10031	17452
146	10089	17365
147	10210	17386
148	10278	17314
149	10340	17233
150	10401	17151
151	10469	17082
152	10531	17002
153	10642	17000
154	10701	16915
155	10760	16830
156	10823	16752
157	10890	16679
158	10953	16602
159	11021	16531
160	11096	16472
161	11188	16438
162	11261	16374
163	11337	16314
164	11420	16265
165	11500	16211
166	11588	16169
167	11671	16117
168	11756	16069
169	11832	16008
170	11911	15952
171	11956	15849
172	12036	15793
173	12066	15671
174	12141	15610
