iter	RMSE
0	128453.2538
1	125819.1959
2	123316.0707
3	120901.1271
4	118443.858
5	116373.6087
6	114125.5352
7	111984.0719
8	109861.5898
9	107903.8285
10	105923.6858
11	104062.8295
12	102364.2287
13	100588.2745
14	98843.80293
15	97152.588
16	95478.16607
17	93916.64504
18	92456.96649
19	91093.55674
20	89667.54121
21	88356.52962
22	87123.29697
23	85977.65554
24	84881.30308
25	83798.87147
26	82669.49853
27	81651.94984
28	80703.4693
29	79900.26534
30	79103.95364
31	78000.96149
32	76960.59529
33	75958.77882
34	75025.26209
35	74171.05978
36	73262.27808
37	72437.25015
38	71696.13099
39	70882.39662
40	70057.69485
41	69437.02445
42	68665.09883
43	67998.79379
44	67281.54885
45	66604.0418
46	66024.56618
47	65478.94862
48	64941.79716
49	64409.46472
50	63871.44231
51	63385.51988
52	62888.22169
53	62464.26044
54	61955.67205
55	61446.01743
56	60922.51793
57	60357.13256
58	59823.6692
59	59505.66021
60	59040.67191
61	58563.06033
62	58199.07222
63	57787.0253
64	57472.48775
65	57108.55417
66	56727.58272
67	56260.87576
68	55893.93521
69	55586.26369
70	55282.36476
71	54958.47609
72	54689.2143
73	54420.05679
74	54113.07151
75	53952.88394
76	53655.67457
77	53434.52963
78	53185.16561
79	52926.61143
80	52694.09008
81	52501.3488
82	52231.11073
83	51933.62281
84	51731.65186
85	51580.45268
86	51347.77737
87	51133.64131
88	50924.80938
89	50813.72754
90	50622.65121
91	50473.90204
92	50312.61803
93	50087.69912
94	49904.16061
95	49737.90259
96	49533.93555
97	49363.77211
98	49255.5939
99	49126.71049
100	48983.69872
101	48834.92187
102	48690.89567
103	48543.25312
104	48375.31022
105	48135.16763
106	48065.12971
107	47930.35966
108	47790.83207
109	47549.49788
110	47421.7665
111	47136.23063
112	47045.14367
113	46926.27877
114	46883.53809
115	46785.228
116	46696.41881
117	46587.78696
118	46537.74742
119	46415.09671
120	46273.50959
121	46209.3946
122	46125.24708
123	46073.18395
124	46009.41796
125	45928.591
126	45888.10819
127	45731.68631
128	45668.98956
129	45587.14105
130	45494.16256
131	45454.64926
132	45401.10875
133	45319.78704
134	45190.57141
135	45173.60798
136	45014.39716
137	44961.11942
138	44863.69091
139	44683.56226
140	44640.6245
141	44525.65079
142	44484.79416
143	44352.55718
144	44307.291
145	44246.64842
146	44145.51877
147	44060.77207
148	44005.62674
149	43846.41368
150	43748.62297
151	43694.05704
152	43662.32208
153	43643.6041
154	43568.85112
155	43475.17772
156	43362.23803
157	43254.37397
158	43236.08654
159	43039.22892
160	42975.46781
161	42892.41477
162	42829.79819
163	42805.81589
164	42714.54282
165	42638.8675
166	42555.21172
167	42475.65557
168	42428.65108
169	42336.02142
170	42237.80349
171	42217.98495
172	42154.07798
173	42138.09829
174	42125.57945
175	42020.02989
176	42000.04733
177	41890.46124
178	41879.4654
179	41802.41002
180	41747.12771
181	41661.4308
182	41637.9599
183	41627.73481
184	41580.4842
185	41511.21179
186	41449.36526
187	41419.02423
188	41346.91003
189	41282.38484
190	41241.21738
191	41199.08254
192	41161.49439
193	41062.33048
194	40937.53163
195	40855.87808
196	40843.26663
197	40822.58555
198	40798.02152
199	40777.41499
200	40755.19163
201	40700.23997
202	40665.33521
203	40630.61006
204	40593.16997
205	40578.90667
206	40571.07439
207	40562.66126
208	40489.05308
209	40415.38013
210	40408.19226
211	40407.77272
212	40398.95299
213	40395.75046
214	40361.17461
215	40353.96757
216	40219.38539
217	40166.52775
218	40129.60156
219	40025.43481
220	40011.33817
221	39965.49137
222	39837.49969
223	39831.95822
224	39741.50594
225	39727.17143
226	39630.73407
227	39597.59169
228	39573.71733
229	39569.612
230	39559.00714
231	39533.4079
232	39469.98026
233	39459.58457
234	39442.66947
235	39410.59885
236	39391.42576
237	39342.67279
238	39301.0607
239	39258.03962
240	39234.59976
241	39227.14257
242	39182.58388
243	39102.78701
244	39038.50413
245	39012.51421
246	38973.98995
247	38936.80377
248	38843.23573
249	38837.44787
250	38775.03699
251	38719.56862
252	38616.83882
253	38536.71141
254	38510.2794
255	38435.35825
256	38392.08273
257	38308.52138
258	38256.98895
259	38240.13495
260	38225.02914
261	38121.11393
262	38064.92864
263	37981.07869
264	37936.78281
265	37915.28598
266	37825.99893
267	37797.29896
268	37792.91104
269	37774.59762
270	37757.04474
271	37706.97777
272	37633.96168
273	37566.6999
274	37556.35264
275	37515.96592
276	37468.8086
277	37466.33451
278	37457.94022
279	37408.80343
280	37402.86566
281	37373.01033
282	37309.4207
283	37262.69988
284	37212.31709
285	37171.1937
286	37154.77748
287	37098.91616
288	37080.02596
289	37052.21896
290	37016.08883
291	36989.55771
292	36968.47728
293	36958.66035
294	36940.08285
295	36939.27889
296	36876.18465
297	36860.90056
298	36851.34328
299	36791.00704
300	36727.98904
301	36710.04995
302	36698.64441
303	36663.34441
304	36657.36082
305	36652.62814
306	36605.2999
307	36594.19899
308	36573.81678
309	36549.11723
310	36520.21371
311	36448.74435
312	36446.72779
313	36424.1865
314	36392.22354
315	36378.15136
316	36354.81841
317	36305.26392
318	36292.67411
319	36256.77335
320	36212.06432
321	36164.8134
322	36163.14899
323	36147.06784
324	36121.92383
325	36116.28709
326	36110.64793
327	36074.71618
328	36050.75733
329	36028.17093
330	35976.91819
331	35919.11616
332	35887.22168
333	35846.76057
334	35832.3058
335	35830.8206
336	35823.9989
337	35758.34737
338	35749.75293
339	35748.43082
340	35738.61822
341	35733.60098
342	35732.24113
343	35727.97254
344	35662.94601
345	35654.00649
346	35631.74702
347	35629.40222
348	35628.31257
349	35588.73233
350	35538.23401
351	35530.36818
352	35468.47138
353	35466.43485
354	35465.15435
355	35443.72469
356	35437.2228
357	35430.87371
358	35424.19851
359	35419.7362
360	35391.49676
361	35387.17131
362	35338.51168
363	35337.65489
364	35311.72649
365	35291.34463
366	35282.66445
367	35274.40597
368	35269.92809
369	35260.58499
370	35241.01931
371	35236.39474
372	35197.32014
373	35189.54534
374	35185.3084
375	35154.04154
376	35105.4094
377	35081.96263
378	34998.26638
379	34974.04131
380	34943.13924
381	34933.61728
382	34898.99649
383	34855.00464
384	34841.19311
385	34760.86813
386	34760.07976
387	34713.6468
388	34704.90523
389	34670.2763
390	34593.42396
391	34586.074
392	34582.41599
393	34578.46035
394	34524.31765
395	34519.93214
396	34519.175
397	34478.59718
398	34404.92068
399	34397.98868
