iter	Passed	Remaining
0	36	14421
1	59	11751
2	94	12479
3	129	12799
4	168	13317
5	207	13639
6	244	13734
7	262	12870
8	295	12856
9	316	12338
10	350	12396
11	384	12445
12	421	12547
13	457	12621
14	492	12634
15	525	12618
16	558	12579
17	595	12628
18	628	12599
19	663	12603
20	694	12541
21	731	12576
22	765	12550
23	800	12544
24	839	12585
25	873	12557
26	906	12524
27	945	12559
28	985	12609
29	1019	12575
30	1047	12472
31	1080	12426
32	1111	12365
33	1142	12302
34	1173	12238
35	1202	12162
36	1236	12132
37	1267	12071
38	1289	11936
39	1318	11864
40	1350	11826
41	1381	11771
42	1410	11712
43	1440	11655
44	1472	11614
45	1502	11566
46	1525	11459
47	1555	11405
48	1584	11347
49	1612	11286
50	1646	11268
51	1678	11232
52	1709	11189
53	1738	11136
54	1768	11094
55	1798	11047
56	1827	10998
57	1857	10954
58	1887	10907
59	1917	10868
60	1947	10820
61	1975	10772
62	2004	10722
63	2034	10680
64	2065	10645
65	2100	10629
66	2130	10588
67	2162	10558
68	2196	10539
69	2225	10493
70	2254	10447
71	2282	10397
72	2311	10353
73	2340	10311
74	2372	10281
75	2403	10245
76	2435	10217
77	2466	10181
78	2497	10147
79	2526	10107
80	2558	10076
81	2586	10031
82	2616	9993
83	2644	9950
84	2673	9906
85	2702	9868
86	2712	9759
87	2742	9723
88	2771	9685
89	2802	9653
90	2834	9624
91	2864	9590
92	2884	9523
93	2912	9479
94	2941	9443
95	2971	9410
96	2999	9370
97	3027	9329
98	3056	9293
99	3087	9262
100	3116	9226
101	3126	9135
102	3158	9107
103	3189	9077
104	3229	9074
105	3265	9058
106	3295	9024
107	3323	8986
108	3353	8953
109	3384	8924
110	3421	8908
111	3450	8872
112	3469	8810
113	3496	8772
114	3536	8765
115	3580	8766
116	3615	8745
117	3659	8745
118	3700	8737
119	3740	8727
120	3771	8696
121	3801	8662
122	3816	8595
123	3848	8565
124	3877	8530
125	3905	8493
126	3934	8458
127	3962	8420
128	3981	8365
129	4013	8334
130	4045	8307
131	4061	8246
132	4094	8219
133	4124	8186
134	4154	8154
135	4182	8119
136	4210	8083
137	4238	8047
138	4266	8011
139	4297	7981
140	4326	7948
141	4360	7922
142	4393	7896
143	4427	7871
144	4458	7841
145	4488	7807
146	4519	7778
147	4548	7745
148	4572	7702
149	4599	7666
150	4628	7632
151	4657	7599
152	4687	7568
153	4718	7536
154	4747	7503
155	4778	7473
156	4811	7447
157	4844	7419
158	4873	7386
159	4904	7356
160	4935	7326
161	4966	7295
162	4998	7267
163	5030	7239
164	5062	7210
165	5092	7179
166	5123	7149
167	5156	7120
168	5185	7087
169	5217	7059
170	5249	7030
171	5281	7001
172	5312	6970
173	5343	6940
174	5377	6914
175	5408	6883
176	5441	6855
177	5472	6825
178	5517	6812
179	5561	6797
180	5595	6769
181	5622	6734
182	5655	6705
183	5691	6680
184	5724	6653
185	5759	6626
186	5791	6596
187	5823	6566
188	5853	6535
189	5885	6505
190	5916	6474
191	5949	6445
192	5978	6412
193	6009	6380
194	6041	6351
195	6057	6304
196	6089	6275
197	6119	6242
198	6142	6204
199	6171	6171
200	6201	6139
201	6231	6107
202	6259	6074
203	6287	6041
204	6318	6010
205	6348	5978
206	6384	5953
207	6414	5921
208	6448	5893
209	6480	5863
210	6512	5833
211	6543	5802
212	6572	5770
213	6601	5738
214	6611	5688
215	6642	5658
216	6671	5625
217	6694	5589
218	6723	5556
219	6752	5524
220	6782	5493
221	6811	5461
222	6841	5430
223	6872	5399
